"Electric power generation, monthly generation by type of electricity" 1 2
"Monthly"
"Table: 25-10-0015-01 (formerly CANSIM 127-0002)"
"Geography: Canada, Province or territory"

"","Alberta","British Columbia"
"","Total all classes of electricity producer","Total all classes of electricity producer"
"Reference period","Hydraulic turbine 3","Hydraulic turbine 3"
"","Megawatt hours",
"January 2008","135,167","6,123,235"
"February 2008","118,164","5,348,686"
"March 2008","138,036","4,993,921"
"April 2008","109,743","4,483,185"
"May 2008","146,529","4,158,428"
"June 2008","311,965","3,931,594"
"July 2008","295,147","5,006,423"
"August 2008","180,420","4,943,221"
"September 2008","138,396","4,203,684"
"October 2008","126,226","4,745,647"
"November 2008","121,148","4,752,093"
"December 2008","132,842","6,083,568"
"January 2009","142,557","5,620,226"
"February 2009","119,049","4,881,712"
"March 2009","121,120","4,797,734"
"April 2009","104,561","4,068,771"
"May 2009","116,879","4,384,511"
"June 2009","161,945","3,865,962"
"July 2009","146,291","4,420,719"
"August 2009","140,043","4,308,835"
"September 2009","132,414","3,871,741"
"October 2009","109,348","4,375,801"
"November 2009","109,134","4,849,449"
"December 2009","125,330","6,426,458"
"January 2010","121,062","5,992,976"
"February 2010","104,105","5,153,905"
"March 2010","103,517","4,529,791"
"April 2010","89,503","3,999,402"
"May 2010","121,556","3,731,960"
"June 2010","157,975","3,962,309"
"July 2010","162,651","3,825,123"
"August 2010","154,234","3,568,868"
"September 2010","139,217","3,085,094"
"October 2010","126,750","3,702,980"
"November 2010","130,698","5,059,655"
"December 2010","147,074","6,150,204"
"January 2011","141,046","5,471,879"
"February 2011","125,560","5,045,242"
"March 2011","138,975","5,226,356"
"April 2011","121,369","4,441,394"
"May 2011","139,809","4,414,419"
"June 2011","264,677","3,892,192"
"July 2011","292,175","4,729,566"
"August 2011","210,692","5,540,774"
"September 2011","170,949","5,015,166"
"October 2011","159,608","5,122,314"
"November 2011","146,256","5,732,541"
"December 2011","137,054","6,333,853"
"January 2012","139,964","6,291,255"
"February 2012","121,729","5,557,023"
"March 2012","135,467","5,209,949"
"April 2012","162,468","4,740,048"
"May 2012","187,251","5,213,327"
"June 2012","307,245","4,807,677"
"July 2012","411,757","5,691,315"
"August 2012","298,307","5,706,118"
"September 2012","152,104","4,781,854"
"October 2012","121,026","5,029,384"
"November 2012","114,992","5,410,708"
"December 2012","121,799","5,777,908"
"January 2013","126,474","6,447,107"
"February 2013","126,520","5,306,081"
"March 2013","123,212","5,467,137"
"April 2013","154,211","4,187,988"
"May 2013","194,610","4,336,846"
"June 2013","346,488","4,088,136"
"July 2013","354,546","4,317,891"
"August 2013","240,007","4,397,254"
"September 2013","202,680","4,292,678"
"October 2013","139,725","4,173,617"
"November 2013","129,098","4,970,098"
"December 2013","131,857","5,861,188"
"January 2014","136,132","5,695,227"
"February 2014","112,504","5,350,013"
"March 2014","137,472","4,783,412"
"April 2014","132,275","4,114,125"
"May 2014","196,687","3,984,680"
"June 2014","274,303","3,795,571"
"July 2014","271,363","4,232,795"
"August 2014","202,615","4,342,078"
"September 2014","143,375","3,994,705"
"October 2014","157,672","3,813,150"
"November 2014","131,510","4,689,913"
"December 2014","171,582","5,272,380"
"January 2015","141,866","5,519,789r"
"February 2015","136,161","4,249,024r"
"March 2015","149,701r","4,546,966r"
"April 2015","134,717r","5,072,146"
"May 2015","217,508","4,796,335"
"June 2015","237,399","4,591,190r"
"July 2015","189,958","4,612,721"
"August 2015","165,762","4,703,558"
"September 2015","157,797","4,478,994"
"October 2015","130,680","4,210,412r"
"November 2015","135,345","5,058,331"
"December 2015","148,488","5,534,895"
"January 2016","143,297","6,282,143"
"February 2016","133,727","4,884,000"
"March 2016","161,315","4,900,888"
"April 2016","162,970","4,187,028"
"May 2016","188,577","4,936,755"
"June 2016","177,870","5,029,095"
"July 2016","190,938","5,069,069"
"August 2016","212,118","4,741,565"
"September 2016","158,254","4,357,296"
"October 2016","141,251","4,666,684"
"November 2016","141,229","5,385,807"
"December 2016","140,515","7,250,720"
"January 2017","122,138","7,218,612"
"February 2017","133,353","5,599,015"
"March 2017","136,453","5,497,624"
"April 2017","176,015","4,740,312"
"May 2017","204,890","4,769,272"
"June 2017","366,920","4,757,497"
"July 2017","261,367","5,411,269"
"August 2017","182,821","5,788,968"
"September 2017","158,940","5,368,877"
"October 2017","115,172","5,159,770"
"November 2017","96,645","5,504,735"
"December 2017","95,188","6,694,208"
"January 2018","103,695","5,905,363"
"February 2018","102,802","5,307,636"
"March 2018","109,119","5,475,802"
"April 2018","129,920","4,234,580"
"May 2018","229,431","4,536,107"
"June 2018","234,825","4,607,841"
"July 2018","300,957","5,484,785"
"August 2018","243,550","5,163,032"
"September 2018","169,452","4,376,089"
"October 2018","127,016","5,210,615"
"November 2018","122,492","4,767,222"
"December 2018","124,332","5,364,967"

Symbol legend:
r,revised,

Footnotes:
1,"For monthly data prior to January 2008, please see table 25-10-0001-01 (terminated). For current monthly data on Electric power receipts and deliveries, see table 25-10-0016-01."
2,"The target population for the Monthly Electricity Supply and Disposition Survey has been expanded to improve coverage of renewable energy in Canada, particularly wind and solar power. As a result of this change, users will have to use caution when comparing data for historical purposes. For wind power, significant changes occurred in British Columbia, Alberta, Ontario, Quebec and Prince Edward Island. For solar power, significant changes occurred in Ontario."
3,"Electric power generated from a plant in which the turbine generators are driven by flowing water. Prior to January 2008, hydro included wind and tidal generation. From January 2008 on, wind and tidal generation are reported separately."

"How to cite: Statistics Canada. Table 25-10-0015-01 Electric power generation, monthly generation by type of electricity"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510001501
DOI: https://doi.org/10.25318/2510001501-eng
