carbon_cap_scenario_id,carbon_cap_scenario_name,year,carbon_cap_tco2_per_yr,carbon_cost_dollar_per_tco2,carbon_cap_tco2_per_yr_ca
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2010,360747616,NULL,62066830
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2011,353152000,NULL,60760000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2012,345556384,NULL,59453170
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2013,337963616,NULL,58146830
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2014,330368000,NULL,56840000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2015,322772384,NULL,55533170
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2016,315179616,NULL,54226830
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2017,307584000,NULL,52920000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2018,299988384,NULL,51613170
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2019,292395616,NULL,50306830
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2020,284800000,NULL,49000000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2021,276730761.6,NULL,47040000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2022,268661238.4,NULL,45080000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2023,260592000,NULL,43120000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2024,252522761.6,NULL,41160000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2025,244453238.4,NULL,39200000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2026,236384000,NULL,37240000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2027,228314761.6,NULL,35280000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2028,220245238.4,NULL,33320000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2029,212176000,NULL,31360000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2030,184106761.6,NULL,29400000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2031,177037238.4,NULL,28297500
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2032,169968000,NULL,27195000
90,"[CEC] WECC and CA, WECC: 15% by 2050 minus 20 mton/yr from industry, CA 60% by 2030",2033,162898761.6,NULL,26092500
