PROJ_DISPATCH_POINTS_1	PROJ_DISPATCH_POINTS_2	DispatchProj
S-NG_CC	5	4.7
C-Wind-2	5	0
S-Residential_PV	4	0
N-Coal_ST	4	1.692
N-Central_PV-2	1	0
C-Central_PV-2	3	0
S-Central_PV-1	2	0
C-Commercial_PV	3	0
N-Central_PV-1	1	0
N-Wind-2	3	0
C-Biomass_IGCC	7	5.45002
N-Biomass_IGCC	1	0
N-NG_CC	4	1.76202
N-NG_GT	4	0
N-Coal_IGCC	6	0
N-Wind-1	3	0
C-Residential_PV	1	0
S-NG_GT	1	0
S-Residential_PV	3	0
C-Residential_PV	3	0
C-Central_PV-2	6	0
C-Central_PV-1	4	0
S-Geothermal	7	2.90574
N-Biomass_IGCC	3	0
S-Central_PV-1	7	0
N-Biomass_IGCC	7	0
S-Central_PV-2	5	0
C-Coal_ST	5	1.692
S-Central_PV-2	7	0
C-Central_PV-1	2	0
N-Wind-1	6	0
C-Coal_IGCC	3	0
N-NG_CC	5	1.88
C-Wind-2	2	0
S-NG_GT	2	0
C-Central_PV-1	5	0
S-NG_CC	3	4.23973
S-Central_PV-2	3	0
C-Central_PV-2	5	0
N-Central_PV-1	6	0
S-Geothermal	4	2.90574
N-Nuclear	7	0
S-Biomass_IGCC	5	0
C-NG_GT	5	0
S-Central_PV-1	4	0
N-Wind-2	5	0
C-Wind-1	1	0
C-Coal_ST	2	1.692
C-NG_CC	4	1.7829
N-Wind-1	5	0
S-Commercial_PV	7	0
N-NG_CC	2	1.55142
C-Wind-2	1	0
S-NG_GT	7	0
N-Biomass_IGCC_CCS	7	0
S-NG_GT	4	0
C-Commercial_PV	7	0
N-Central_PV-1	5	0
S-Geothermal	1	2.90574
C-NG_GT	6	1.88
N-Geothermal	7	0.968581
S-NG_GT	5	0
N-Coal_IGCC	2	0
C-Residential_PV	6	0
C-Coal_IGCC	4	0
C-NG_CC	7	0.142049
C-Nuclear	7	0
S-NG_CC	4	4.67586
C-Wind-2	4	0
S-Residential_PV	7	0
N-Coal_ST	2	1.692
N-Central_PV-2	2	0
C-Central_PV-2	2	0
N-Coal_ST	6	1.692
S-Central_PV-1	3	0
C-Commercial_PV	4	0
S-Geothermal	3	2.90574
S-Biomass_IGCC	3	0
C-Biomass_IGCC	6	0
N-NG_GT	7	0
N-Coal_IGCC	7	0
N-Wind-1	2	0
C-Coal_IGCC	7	0
C-NG_CC	2	1.467
C-Central_PV-1	1	0
S-NG_CC	7	0
S-Residential_PV	2	0
C-Central_PV-2	1	0
N-Commercial_PV	6	0
C-NG_CC	3	2.02205
C-NG_GT	1	0
C-Commercial_PV	1	0
N-Coal_ST	5	1.692
N-NG_CC_CCS	7	0
N-Wind-2	1	0
N-Biomass_IGCC	4	0
N-Coal_IGCC_CCS	7	0
C-Coal_ST	6	1.692
S-Commercial_PV	3	0
N-Coal_IGCC	4	0
N-Wind-1	1	0
C-Coal_IGCC	2	0
N-NG_CC	6	1.88
N-Commercial_PV	2	0
C-Central_PV-1	6	0
S-NG_CC	2	4.46526
S-Residential_PV	1	0
C-Central_PV-2	4	0
N-NG_GT	5	0
S-Geothermal	5	2.90574
S-Biomass_IGCC	4	0
C-NG_GT	2	0
S-Central_PV-1	5	0
N-Geothermal	3	0.968581
N-Wind-2	6	0
C-Wind-1	2	0
C-Coal_ST	3	1.692
N-NG_GT	1	0
N-Wind-1	4	0
N-NG_CC	3	1.88
N-Commercial_PV	5	0
N-Central_PV-2	6	0
N-Commercial_PV	7	0
N-Central_PV-1	4	0
S-Geothermal	2	2.90574
S-Biomass_IGCC	7	0
C-NG_GT	7	0
N-Geothermal	6	0.968581
N-Coal_IGCC	3	0
C-Biomass_IGCC	1	0
