TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTrans
North	Central	6	0
North	Central	5	0.328581
North	Central	4	0
South	Central	5	0
North	Central	3	0
South	Central	4	0
Central	South	1	0
North	Central	2	0
South	Central	7	0
North	Central	1	0
South	Central	6	0
Central	South	3	0
South	Central	1	0.99644
Central	South	2	0
Central	South	5	0.870487
Central	North	7	0
South	Central	3	0.300975
Central	South	4	0
Central	North	6	0
South	Central	2	0
Central	South	7	8.67102
Central	North	5	0
Central	South	6	1.38205
Central	North	4	0
Central	North	3	0.206166
Central	North	2	0
Central	North	1	0.754603
North	Central	7	2.26816
