load_zone	timestamp	LZ_NetDispatch	LZ_TXNet	lz_demand_mw	DumpPower	distribution_losses
Central	2025011500	3.8961000000000006	0.0	3.7	0.0	0.1961
Central	2025011512	3.159	0.0	3	0.0	0.159
Central	2025011600	3.7908	0.0	3.6	0.0	0.1908
Central	2025011612	3.4749	0.0	3.3	0.0	0.17489999999999997
Central	2025061500	3.159	0.0	3	0.0	0.159
Central	2025061512	4.212	0.0	4	0.0	0.212
Central	2035011512	4.8438	0.0	4.6	0.0	0.24379999999999996
North	2025011500	5.265000000000001	0.0	5	0.0	0.265
North	2025011512	4.212000000000002	0.0	4	0.0	0.212
North	2025011600	4.738500000000003	0.0	4.5	0.0	0.2385
North	2025011612	4.422600000000003	0.0	4.2	0.0	0.2226
North	2025061500	4.212000000000001	0.0	4	0.0	0.212
North	2025061512	6.318000000000001	0.0	6	0.0	0.318
North	2035011512	6.318	0.0	6	0.0	0.318
South	2025011500	6.318	0.0	6	0.0	0.318
South	2025011512	7.371	0.0	7	0.0	0.371
South	2025011600	6.8445	0.0	6.5	0.0	0.3445
South	2025011612	7.581600000000002	0.0	7.2	0.0	0.3816
South	2025061500	8.424	0.0	8	0.0	0.424
South	2025061512	10.530000000000001	0.0	10	0.0	0.53
South	2035011512	11.056499999999998	0.0	10.5	0.0	0.5565
