param trans_lz2 := C-S "South" N-C "Central";
set GEN_TECH_STORAGE := ;
set TIMESERIES := 2020_01winter 2020_06summer 2030_all;
param ts_scale_to_period := 2020_01winter 913.12 2020_06summer 1826.25 2030_all 3652.5;
param ts_duration_of_tp := 2020_01winter 12 2020_06summer 12 2030_all 24;
param tp_timestamp := 1 2025011500 2 2025011512 3 2025011600 4 2025011612 5 2025061500 6 2025061512 7 2035011512;
set LOAD_ZONES := North Central South;
param proj_gen_tech := N-Nuclear "Nuclear" C-Nuclear "Nuclear" S-Biomass_IGCC_CCS "Biomass_IGCC_CCS" N-Geothermal "Geothermal" S-Commercial_PV "Commercial_PV" C-Coal_IGCC "Coal_IGCC" C-NG_GT "NG_GT" N-NG_CC_CCS "NG_CC_CCS" N-Biomass_IGCC_CCS "Biomass_IGCC_CCS" C-NG_CC "NG_CC" N-NG_GT "NG_GT" N-Wind-2 "Wind" N-Wind-1 "Wind" S-Biomass_IGCC "Biomass_IGCC" C-Wind-1 "Wind" N-Coal_ST "Coal_ST" N-NG_CC "NG_CC" C-Wind-2 "Wind" C-Biomass_IGCC "Biomass_IGCC" N-Residential_PV "Residential_PV" S-Residential_PV "Residential_PV" C-Central_PV-1 "Central_PV" C-Central_PV-2 "Central_PV" N-Coal_IGCC_CCS "Coal_IGCC_CCS" C-Commercial_PV "Commercial_PV" S-NG_GT "NG_GT" N-Biomass_IGCC "Biomass_IGCC" S-NG_CC_CCS "NG_CC_CCS" S-NG_CC "NG_CC" N-Central_PV-2 "Central_PV" N-Coal_IGCC "Coal_IGCC" N-Central_PV-1 "Central_PV" C-Coal_ST "Coal_ST" S-Geothermal "Geothermal" N-Commercial_PV "Commercial_PV" C-Residential_PV "Residential_PV" S-Central_PV-1 "Central_PV" S-Central_PV-2 "Central_PV";
param proj_capacity_limit_mw := N-Geothermal 1.5 N-Central_PV-1 3 N-Wind-2 1 N-Wind-1 4 S-Commercial_PV 3.3 N-Residential_PV 1.5 S-Residential_PV 3 C-Central_PV-1 2 C-Central_PV-2 3 N-Central_PV-2 2 C-Wind-1 4 N-Commercial_PV 2 C-Wind-2 3 C-Commercial_PV 0.7 S-NG_GT 5 C-Residential_PV 0.5 S-Central_PV-1 0.8 S-Geothermal 3 S-Central_PV-2 0.4;
set GEN_TECH_WITH_UNIT_SIZES := Coal_IGCC;
param g_competes_for_space := Biomass_IGCC_CCS 0 FuelOil_GT 0 NG_CC 0 Nuclear 0 Coal_ST 0 NG_CC_CCS 0 Coal_IGCC 0 Geothermal 0 Coal_IGCC_CCS 0 Commercial_PV 1 Biomass_IGCC 0 Residential_PV 1 NG_GT 0 Central_PV 1 Wind 0;
param ts_num_tps := 2020_01winter 4 2020_06summer 2 2030_all 1;
param discount_rate := 0.05;
set EXISTING_PROJ_BUILDYEARS := ('N-Coal_ST', 1995) ('N-Geothermal', 2000) ('N-NG_CC', 2008) ('N-NG_GT', 2009) ('C-Coal_ST', 1985) ('C-NG_CC', 2005) ('C-NG_GT', 2005) ('S-Geothermal', 1998) ('S-NG_CC', 2000) ('S-NG_GT', 1990) ('S-NG_GT', 2002);
param proj_max_capacity_factor := 
 C-Central_PV-1 1 0.0
 C-Central_PV-1 2 0.61
 C-Central_PV-1 3 0.0
 C-Central_PV-1 4 0.64
 C-Central_PV-1 5 0.0
 C-Central_PV-1 6 0.79
 C-Central_PV-1 7 0.39
 C-Central_PV-2 1 0.0
 C-Central_PV-2 2 0.64
 C-Central_PV-2 3 0.0
 C-Central_PV-2 4 0.68
 C-Central_PV-2 5 0.0
 C-Central_PV-2 6 0.72
 C-Central_PV-2 7 0.41
 C-Commercial_PV 1 0.0
 C-Commercial_PV 2 0.61
 C-Commercial_PV 3 0.0
 C-Commercial_PV 4 0.66
 C-Commercial_PV 5 0.0
 C-Commercial_PV 6 0.74
 C-Commercial_PV 7 0.4
 C-Residential_PV 1 0.0
 C-Residential_PV 2 0.59
 C-Residential_PV 3 0.0
 C-Residential_PV 4 0.64
 C-Residential_PV 5 0.0
 C-Residential_PV 6 0.74
 C-Residential_PV 7 0.34
 C-Wind-1 1 0.66
 C-Wind-1 2 0.4
 C-Wind-1 3 0.73
 C-Wind-1 4 0.5
 C-Wind-1 5 0.22
 C-Wind-1 6 0.05
 C-Wind-1 7 0.8
 C-Wind-2 1 0.62
 C-Wind-2 2 0.36
 C-Wind-2 3 0.66
 C-Wind-2 4 0.48
 C-Wind-2 5 0.14
 C-Wind-2 6 0.05
 C-Wind-2 7 0.86
 N-Central_PV-1 1 0.0
 N-Central_PV-1 2 0.56
 N-Central_PV-1 3 0.0
 N-Central_PV-1 4 0.62
 N-Central_PV-1 5 0.0
 N-Central_PV-1 6 0.73
 N-Central_PV-1 7 0.41
 N-Central_PV-2 1 0.0
 N-Central_PV-2 2 0.6
 N-Central_PV-2 3 0.0
 N-Central_PV-2 4 0.61
 N-Central_PV-2 5 0.0
 N-Central_PV-2 6 0.81
 N-Central_PV-2 7 0.36
 N-Commercial_PV 1 0.0
 N-Commercial_PV 2 0.65
 N-Commercial_PV 3 0.0
 N-Commercial_PV 4 0.66
 N-Commercial_PV 5 0.0
 N-Commercial_PV 6 0.73
 N-Commercial_PV 7 0.38
 N-Residential_PV 1 0.0
 N-Residential_PV 2 0.55
 N-Residential_PV 3 0.0
 N-Residential_PV 4 0.6
 N-Residential_PV 5 0.0
 N-Residential_PV 6 0.72
 N-Residential_PV 7 0.33
 N-Wind-1 1 0.6
 N-Wind-1 2 0.3
 N-Wind-1 3 0.65
 N-Wind-1 4 0.42
 N-Wind-1 5 0.12
 N-Wind-1 6 0.05
 N-Wind-1 7 0.8
 N-Wind-2 1 0.68
 N-Wind-2 2 0.33
 N-Wind-2 3 0.71
 N-Wind-2 4 0.46
 N-Wind-2 5 0.17
 N-Wind-2 6 0.13
 N-Wind-2 7 0.87
 S-Central_PV-1 1 0.0
 S-Central_PV-1 2 0.61
 S-Central_PV-1 3 0.0
 S-Central_PV-1 4 0.7
 S-Central_PV-1 5 0.0
 S-Central_PV-1 6 0.75
 S-Central_PV-1 7 0.37
 S-Central_PV-2 1 0.0
 S-Central_PV-2 2 0.64
 S-Central_PV-2 3 0.0
 S-Central_PV-2 4 0.63
