ZONE_TIMEPOINTS_1,ZONE_TIMEPOINTS_2,WithdrawFromCentralGrid
North,1,5.279831045406548
North,2,4.223864836325238
North,3,4.7518479408658925
North,4,4.4350580781415
North,5,4.223864836325238
North,6,6.335797254487857
North,7,6.335797254487857
Central,1,3.907074973600845
Central,2,3.1678986272439285
Central,3,3.801478352692714
Central,4,3.484688489968321
Central,5,3.1678986272439285
Central,6,4.223864836325238
Central,7,4.857444561774023
South,1,6.335797254487857
South,2,7.391763463569166
South,3,6.863780359028511
South,4,7.602956705385428
South,5,8.447729672650476
South,6,10.559662090813095
South,7,11.08764519535375
