PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,31342543.722178947,4475050.59039242
2020,LocalTDFixedCosts,annual,14240596.00103144,2033255.1214361144
2020,FuelCostsPerPeriod,annual,22873474.957931604,3265847.166781968
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2020,EmissionsCosts,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,31625204.686099377,7355124.776767239
2030,LocalTDFixedCosts,annual,11068169.152886221,2574141.9218585007
2030,FuelCostsPerPeriod,annual,8547474.45039005,1987899.8960750392
2030,TxFixedCosts,annual,964379.1104192655,224287.20255395598
2030,EmissionsCosts,annual,0.0,0.0
2020,GenVariableOMCostsInTP,timepoint,11904404.358519632,1699696.4964003833
2030,GenVariableOMCostsInTP,timepoint,5668581.2410538625,1318351.0667843726
