LOAD_ZONE	TIMEPOINT	lz_demand_mw
Unique	1	10
Unique	2	8
Unique	3	8
Unique	4	8
Unique	5	8
Unique	6	8
Unique	7	8
Unique	8	9
Unique	9	10
Unique	10	11
Unique	11	13
Unique	12	14
Unique	13	14
Unique	14	14
Unique	15	14
Unique	16	15
Unique	17	15
Unique	18	15
Unique	19	16
Unique	20	20
Unique	21	22
Unique	22	24
Unique	23	24
Unique	24	17
Unique	25	12
Unique	26	10
Unique	27	10
Unique	28	10
Unique	29	10
Unique	30	10
Unique	31	10
Unique	32	11
Unique	33	12
Unique	34	13
Unique	35	16
Unique	36	17
Unique	37	17
Unique	38	17
Unique	39	17
Unique	40	18
Unique	41	18
Unique	42	18
Unique	43	19
Unique	44	24
Unique	45	26
Unique	46	29
Unique	47	29
Unique	48	21

