PROJ_DISPATCH_POINTS_1	PROJ_DISPATCH_POINTS_2	DispatchProj
Unique-Central_PV	20	0.0
Unique-Hydro_Series	18	2.856
Unique-Hydro_Dam_1	43	7.84
Unique-Hydro_Dam_2	32	5.88
Unique-Hydro_Dam_1	24	6.81333333333
Unique-NG_CC	37	0.0
Unique-Central_PV	39	2.94
Unique-Hydro_Dam_2	31	5.88
Unique-Hydro_Dam_1	13	5.98933333333
Unique-Central_PV	48	0.0
Unique-Hydro_Dam_2	10	0.0
Unique-Hydro_Dam_1	2	0.813333333333
Unique-NG_CC	22	0.48
Unique-NG_CC	9	0.0
Unique-Central_PV	14	4.116
Unique-Hydro_Series	1	1.97333333333
Unique-Hydro_Series	28	1.97333333333
Unique-Hydro_Dam_2	1	5.88
Unique-Central_PV	27	0.0
Unique-Hydro_Series	17	2.66
Unique-Hydro_Dam_1	38	4.85333333333
Unique-NG_CC	47	5.48
Unique-Hydro_Dam_2	37	5.88
Unique-Hydro_Dam_1	27	2.792
Unique-NG_CC	34	0.0
Unique-Central_PV	42	1.176
Unique-Hydro_Series	7	3.26666666667
Unique-Hydro_Dam_2	16	5.88
Unique-Hydro_Dam_1	8	5.008
Unique-Hydro_Dam_2	15	4.552
Unique-NG_CC	19	0.0
Unique-NG_CC	6	0.0
Unique-Hydro_Dam_2	42	5.88
Unique-Hydro_Series	27	1.328
Unique-Hydro_Dam_1	44	7.84
Unique-Central_PV	30	0.0
Unique-Hydro_Dam_1	11	6.49866666667
Unique-Hydro_Dam_2	43	5.88
Unique-Hydro_Dam_1	33	3.088
Unique-NG_CC	44	0.48
Unique-Hydro_Dam_2	38	5.88
Unique-Hydro_Dam_1	22	7.84
Unique-Central_PV	41	1.764
Unique-Hydro_Dam_2	21	5.88
Unique-Hydro_Dam_2	6	5.88
Unique-NG_CC	29	0.0
Unique-Central_PV	1	0.0
Unique-Hydro_Series	39	3.32666666667
Unique-NG_CC	16	0.0
Unique-Central_PV	7	0.0
Unique-NG_CC	3	0.0
Unique-Central_PV	16	2.94
Unique-Hydro_Series	22	9.8
Unique-Hydro_Dam_1	47	7.84
Unique-Central_PV	29	0.0
Unique-Hydro_Series	11	4.14933333333
Unique-Hydro_Dam_1	28	2.14666666667
Unique-NG_CC	41	0.0
Unique-Central_PV	35	2.352
Unique-Hydro_Dam_2	27	5.88
Unique-Hydro_Dam_1	17	3.52
Unique-Central_PV	44	0.0
Unique-Hydro_Series	4	1.30666666667
Unique-Hydro_Dam_2	22	5.88
Unique-Hydro_Dam_1	6	0.813333333333
Unique-NG_CC	26	0.0
Unique-Hydro_Dam_2	5	0.0
Unique-NG_CC	13	0.0
Unique-Central_PV	10	2.352
Unique-Hydro_Dam_2	45	5.88
Unique-Hydro_Series	35	4.82
Unique-Hydro_Series	21	8.28
Unique-Hydro_Dam_1	42	6.696
Unique-Hydro_Dam_2	33	5.88
Unique-Hydro_Dam_1	31	2.14666666667
Unique-NG_CC	38	0.0
Unique-Central_PV	38	2.94
Unique-Hydro_Dam_2	28	5.88
Unique-Hydro_Dam_1	12	5.98933333333
Unique-Hydro_Dam_2	11	0.0
Unique-Hydro_Dam_1	1	2.14666666667
Unique-NG_CC	23	0.48
Unique-Hydro_Series	33	2.444
Unique-NG_CC	10	0.0
Unique-Central_PV	9	1.176
Unique-Hydro_Series	12	3.89466666667
Unique-Hydro_Series	31	1.97333333333
Unique-Hydro_Dam_1	48	7.84
Unique-Central_PV	26	0.0
Unique-Hydro_Series	16	2.66
Unique-Hydro_Dam_1	37	4.85333333333
Unique-NG_CC	48	0.0
Unique-Hydro_Dam_2	34	5.88
Unique-Hydro_Dam_1	26	5.5
Unique-NG_CC	35	0.0
Unique-Central_PV	37	2.94
Unique-Hydro_Dam_2	17	5.88
Unique-Hydro_Dam_1	15	2.95466666667
Unique-Hydro_Series	45	4.82
Unique-Hydro_Series	5	3.26666666667
Unique-Hydro_Dam_2	12	0.0
Unique-NG_CC	20	0.0
Unique-Hydro_Series	32	2.30666666667
Unique-Central_PV	3	0.0
Unique-NG_CC	7	0.0
Unique-Central_PV	12	4.116
Unique-Hydro_Series	26	4.5
Unique-Hydro_Dam_2	44	5.88
Unique-Hydro_Series	15	2.37733333333
Unique-Hydro_Dam_1	32	2.81333333333
Unique-NG_CC	45	7.46
Unique-Hydro_Dam_2	39	5.88
Unique-Hydro_Dam_1	21	7.84
Unique-NG_CC	32	0.0
Unique-Central_PV	40	1.764
Unique-Hydro_Dam_2	18	5.88
Unique-Hydro_Dam_1	10	5.16533333333
Unique-NG_CC	30	0.0
Unique-Hydro_Series	38	3.32666666667
Unique-NG_CC	17	0.0
Unique-Central_PV	6	0.0
