DumpPower_index_1	DumpPower_index_2	DumpPower
Unique	1	0.0
Unique	2	0.0
Unique	3	0.0
Unique	4	0.0
Unique	5	0.0
Unique	6	0.0
Unique	7	0.0
Unique	8	0.0
Unique	9	0.0
Unique	10	0.0
Unique	11	0.0
Unique	12	0.0
Unique	13	0.0
Unique	14	0.0
Unique	15	0.0
Unique	16	0.0
Unique	17	0.0
Unique	18	0.0
Unique	19	0.0
Unique	20	0.0
Unique	21	0.0
Unique	22	0.0
Unique	23	0.0
Unique	24	0.0
Unique	25	0.0
Unique	26	0.0
Unique	27	0.0
Unique	28	0.0
Unique	29	0.0
Unique	30	0.0
Unique	31	0.0
Unique	32	0.0
Unique	33	0.0
Unique	34	0.0
Unique	35	0.0
Unique	36	0.0
Unique	37	0.0
Unique	38	0.0
Unique	39	0.0
Unique	40	0.0
Unique	41	0.0
Unique	42	0.0
Unique	43	0.0
Unique	44	0.0
Unique	45	0.0
Unique	46	0.0
Unique	47	0.0
Unique	48	0.0
