PROJ_FUEL_DISPATCH_POINTS_1	PROJ_FUEL_DISPATCH_POINTS_2	PROJ_FUEL_DISPATCH_POINTS_3	ProjFuelUseRate
Unique-NG_CC	25	NaturalGas	0.0
Unique-NG_CC	16	NaturalGas	0.0
Unique-NG_CC	44	NaturalGas	3.2184
Unique-NG_CC	19	NaturalGas	0.0
Unique-NG_CC	38	NaturalGas	0.0
Unique-NG_CC	13	NaturalGas	0.0
Unique-NG_CC	41	NaturalGas	0.0
Unique-NG_CC	7	NaturalGas	0.0
Unique-NG_CC	35	NaturalGas	0.0
Unique-NG_CC	10	NaturalGas	0.0
Unique-NG_CC	29	NaturalGas	0.0
Unique-NG_CC	4	NaturalGas	0.0
Unique-NG_CC	48	NaturalGas	0.0
Unique-NG_CC	23	NaturalGas	3.2184
Unique-NG_CC	26	NaturalGas	0.0
Unique-NG_CC	1	NaturalGas	0.0
Unique-NG_CC	45	NaturalGas	50.0193
Unique-NG_CC	20	NaturalGas	0.0
Unique-NG_CC	39	NaturalGas	0.0
Unique-NG_CC	14	NaturalGas	0.0
Unique-NG_CC	42	NaturalGas	0.0
Unique-NG_CC	17	NaturalGas	0.0
Unique-NG_CC	8	NaturalGas	0.0
Unique-NG_CC	36	NaturalGas	0.0
Unique-NG_CC	11	NaturalGas	0.0
Unique-NG_CC	30	NaturalGas	0.0
Unique-NG_CC	5	NaturalGas	0.0
Unique-NG_CC	33	NaturalGas	0.0
Unique-NG_CC	24	NaturalGas	0.0
Unique-NG_CC	27	NaturalGas	0.0
Unique-NG_CC	2	NaturalGas	0.0
Unique-NG_CC	32	NaturalGas	0.0
Unique-NG_CC	46	NaturalGas	48.6783
Unique-NG_CC	21	NaturalGas	0.0
Unique-NG_CC	40	NaturalGas	0.0
Unique-NG_CC	15	NaturalGas	0.0
Unique-NG_CC	43	NaturalGas	0.0
Unique-NG_CC	18	NaturalGas	0.0
Unique-NG_CC	37	NaturalGas	0.0
Unique-NG_CC	12	NaturalGas	0.0
Unique-NG_CC	31	NaturalGas	0.0
Unique-NG_CC	6	NaturalGas	0.0
Unique-NG_CC	34	NaturalGas	0.0
Unique-NG_CC	9	NaturalGas	0.0
Unique-NG_CC	28	NaturalGas	0.0
Unique-NG_CC	3	NaturalGas	0.0
Unique-NG_CC	47	NaturalGas	36.7434
Unique-NG_CC	22	NaturalGas	3.2184
