RESERVOIRS_BALANCE_POINTS_1	RESERVOIRS_BALANCE_POINTS_2	ReservoirVol
Dam_2	25	18000.0
Dam_2	20	25968.0
Dam_1	41	127920.0
Dam_2	7	75600.0
Dam_1	26	96288.0
Dam_1	7	130000.0
Dam_2	48	60912.0
Dam_2	35	102096.0
Dam_2	30	65664.0
Dam_1	35	164720.0
Dam_2	9	79200.0
Dam_1	44	100560.0
Dam_2	4	64800.0
Dam_1	25	78288.0
Dam_1	10	151800.0
Dam_2	32	80496.0
Dam_2	19	40080.0
Dam_1	38	155280.0
Dam_2	14	68304.0
Dam_1	19	145320.0
Dam_1	28	114088.0
Dam_1	9	141000.0
Dam_2	42	99072.0
Dam_2	37	95184.0
Dam_2	16	68304.0
Dam_1	37	155440.0
Dam_2	3	61200.0
Dam_1	22	108568.0
Dam_1	3	100800.0
Dam_1	12	153904.0
Dam_2	47	67824.0
Dam_2	26	21888.0
Dam_2	21	25968.0
Dam_1	40	137040.0
Dam_1	21	121288.0
Dam_1	6	129800.0
Dam_2	44	92160.0
Dam_2	31	69552.0
Dam_1	34	155464.0
Dam_2	10	79200.0
Dam_1	47	89400.0
Dam_2	5	68400.0
Dam_1	24	91008.0
Dam_1	5	129600.0
Dam_2	33	94896.0
Dam_2	28	43776.0
Dam_1	33	162088.0
Dam_2	15	68304.0
Dam_1	18	149856.0
Dam_1	31	149888.0
Dam_1	8	130200.0
Dam_2	43	102672.0
Dam_2	38	84672.0
Dam_2	17	54192.0
Dam_1	36	155600.0
Dam_2	12	79200.0
Dam_1	17	164976.0
Dam_1	2	86400.0
Dam_1	15	161136.0
Dam_2	40	91872.0
Dam_2	27	25776.0
Dam_2	22	29568.0
Dam_1	43	109680.0
Dam_2	1	54000.0
Dam_1	20	137608.0
Dam_1	1	72000.0
Dam_2	45	81648.0
Dam_1	48	77520.0
Dam_2	24	18000.0
Dam_2	11	79200.0
Dam_1	46	101280.0
Dam_2	6	72000.0
Dam_1	27	114288.0
Dam_1	4	115200.0
Dam_2	34	98496.0
Dam_2	29	61776.0
Dam_1	32	167888.0
Dam_2	8	79200.0
Dam_1	45	102920.0
Dam_1	30	131888.0
Dam_1	11	162600.0
Dam_2	39	88272.0
Dam_2	18	54192.0
Dam_1	39	146160.0
Dam_2	13	79200.0
Dam_1	16	168336.0
Dam_1	29	113888.0
Dam_1	14	153936.0
Dam_2	41	95472.0
Dam_2	36	105696.0
Dam_2	23	28512.0
Dam_1	42	118800.0
Dam_2	2	57600.0
Dam_1	23	95848.0
Dam_1	13	146736.0
Dam_2	46	74736.0
