timestamp	Unique-NG_CC	Unique-Hydro_Dam_1	Unique-Hydro_Dam_2	Unique-Hydro_Series	Unique-Central_PV
2020010100	0.0	2.14666666667	5.88	1.97333333333	0.0
2020010101	0.0	0.813333333333	5.88	1.30666666667	0.0
2020010102	0.0	0.813333333333	5.88	1.30666666667	0.0
2020010103	0.0	0.813333333333	5.88	1.30666666667	0.0
2020010104	0.0	4.73333333333	0.0	3.26666666667	0.0
2020010105	0.0	0.813333333333	5.88	1.30666666667	0.0
2020010106	0.0	4.73333333333	0.0	3.26666666667	0.0
2020010107	0.0	5.008	0.0	3.404	0.588
2020010108	0.0	5.28266666667	0.0	3.54133333333	1.176
2020010109	0.0	5.16533333333	0.0	3.48266666667	2.352
2020010110	0.0	6.49866666667	0.0	4.14933333333	2.352
2020010111	0.0	5.98933333333	0.0	3.89466666667	4.116
2020010112	0.0	5.98933333333	0.0	3.89466666667	4.116
2020010113	0.0	5.98933333333	0.0	3.89466666667	4.116
2020010114	0.0	2.95466666667	4.552	2.37733333333	4.116
2020010115	0.0	3.52	5.88	2.66	2.94
2020010116	0.0	3.52	5.88	2.66	2.94
2020010117	0.0	3.912	5.88	2.856	2.352
2020010118	0.0	4.97066666667	5.88	3.38533333333	1.764
2020010119	0.0	7.84	5.88	6.28	0.0
2020010120	0.0	7.84	5.88	8.28	0.0
2020010121	0.48	7.84	5.88	9.8	0.0
2020010122	0.48	7.84	5.88	9.8	0.0
2020010123	0.0	6.81333333333	5.88	4.30666666667	0.0
2020070100	0.0	7.2	0.3	4.5	0.0
2020070101	0.0	5.5	0.0	4.5	0.0
2020070102	0.0	2.792	5.88	1.328	0.0
2020070103	0.0	2.14666666667	5.88	1.97333333333	0.0
2020070104	0.0	2.14666666667	5.88	1.97333333333	0.0
2020070105	0.0	2.14666666667	5.88	1.97333333333	0.0
2020070106	0.0	2.14666666667	5.88	1.97333333333	0.0
2020070107	0.0	2.81333333333	5.88	2.30666666667	0.0
2020070108	0.0	3.088	5.88	2.444	0.588
2020070109	0.0	3.36266666667	5.88	2.58133333333	1.176
2020070110	0.0	7.84	0.988	4.82	2.352
2020070111	0.0	4.85333333333	5.88	3.32666666667	2.94
2020070112	0.0	4.85333333333	5.88	3.32666666667	2.94
2020070113	0.0	4.85333333333	5.88	3.32666666667	2.94
2020070114	0.0	4.85333333333	5.88	3.32666666667	2.94
2020070115	0.0	6.304	5.88	4.052	1.764
2020070116	0.0	6.304	5.88	4.052	1.764
2020070117	0.0	6.696	5.88	4.248	1.176
2020070118	0.0	7.84	5.88	5.28	0.0
2020070119	0.48	7.84	5.88	9.8	0.0
2020070120	7.46	7.84	5.88	4.82	0.0
2020070121	7.26	7.84	5.88	8.02	0.0
2020070122	5.48	7.84	5.88	9.8	0.0
2020070123	0.0	7.84	5.88	7.28	0.0
