load_zone	timestamp	LZ_NetDispatch	lz_demand_mw	DumpPower
Unique	2020010100	10.0	10	0.0
Unique	2020010101	8.000000000002998	8	0.0
Unique	2020010102	8.000000000002998	8	0.0
Unique	2020010103	8.000000000002998	8	0.0
Unique	2020010104	8.0	8	0.0
Unique	2020010105	8.000000000002998	8	0.0
Unique	2020010106	8.0	8	0.0
Unique	2020010107	8.999999999999998	9	0.0
Unique	2020010108	10.0	10	0.0
Unique	2020010109	11.0	11	0.0
Unique	2020010110	13.0	13	0.0
Unique	2020010111	14.0	14	0.0
Unique	2020010112	14.0	14	0.0
Unique	2020010113	14.0	14	0.0
Unique	2020010114	14.0	14	0.0
Unique	2020010115	15.0	15	0.0
Unique	2020010116	15.0	15	0.0
Unique	2020010117	15.0	15	0.0
Unique	2020010118	16.0	16	0.0
Unique	2020010119	20.0	20	0.0
Unique	2020010120	22.0	22	0.0
Unique	2020010121	24.0	24	0.0
Unique	2020010122	24.0	24	0.0
Unique	2020010123	17.0	17	0.0
Unique	2020070100	12.0	12	0.0
Unique	2020070101	10.0	10	0.0
Unique	2020070102	10.0	10	0.0
Unique	2020070103	10.0	10	0.0
Unique	2020070104	10.0	10	0.0
Unique	2020070105	10.0	10	0.0
Unique	2020070106	10.0	10	0.0
Unique	2020070107	11.0	11	0.0
Unique	2020070108	11.999999999999998	12	0.0
Unique	2020070109	13.000000000000002	13	0.0
Unique	2020070110	16.0	16	0.0
Unique	2020070111	17.0	17	0.0
Unique	2020070112	17.0	17	0.0
Unique	2020070113	17.0	17	0.0
Unique	2020070114	17.0	17	0.0
Unique	2020070115	18.0	18	0.0
Unique	2020070116	18.0	18	0.0
Unique	2020070117	18.0	18	0.0
Unique	2020070118	19.0	19	0.0
Unique	2020070119	24.0	24	0.0
Unique	2020070120	26.0	26	0.0
Unique	2020070121	29.0	29	0.0
Unique	2020070122	29.0	29	0.0
Unique	2020070123	21.0	21	0.0
