GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_AES	1992	0.0	0.0
Oahu_Airport_DSG	2013	0.0	0.0
Oahu_CC_152	2021	1615294.85302	17452.3528084
Oahu_CC_152	2037	1520146.36226	17452.3528084
Oahu_CIP_CT	2009	0.0	0.0
Oahu_CentralTrackingPV_PV_01	2016	0.0	0.0
Oahu_CentralTrackingPV_PV_01	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_01	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_02	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_02	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_03	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_03	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_04	2012	0.0	0.0
Oahu_CentralTrackingPV_PV_04	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_04	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_05	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_05	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_06	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_06	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_07	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_07	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_08	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_08	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_09	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_09	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_10	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_10	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_11	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_11	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_12	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_12	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_13	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_13	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_14	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_14	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_15	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_15	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_16	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_16	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_17	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_17	2037	1667969.10185	22970.0
Oahu_CentralTrackingPV_PV_18	2021	2422277.94911	22970.0
Oahu_CentralTrackingPV_PV_18	2037	1667969.10185	22970.0
Oahu_DistPV_Oahu_DistPV_0	2021	3004667.94574	0.0
Oahu_DistPV_Oahu_DistPV_0	2037	1979421.6992	0.0
Oahu_DistPV_Oahu_DistPV_1	2016	0.0	0.0
Oahu_DistPV_Oahu_DistPV_1	2021	3004667.94574	0.0
Oahu_DistPV_Oahu_DistPV_1	2037	1979421.6992	0.0
Oahu_DistPV_Oahu_DistPV_10	2016	0.0	0.0
Oahu_DistPV_Oahu_DistPV_10	2021	3004667.94574	0.0
