GENERATION_PROJECT	gen_load_zone	gen_tech	gen_connect_cost_per_mw	gen_capacity_limit_mw	gen_unit_size	gen_max_age	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_is_variable	gen_is_baseload	gen_is_cogen	gen_non_cycling	gen_variable_om	gen_energy_source	gen_full_load_heat_rate
Oahu_AES	Oahu	AES	0.0	185.0	185.0	61	0.0	0	0	0	0	1	2.0	multiple	.
Oahu_Airport_DSG	Oahu	Airport_DSG	0.0	8.0	8.0	61	0.0	0	0	0	0	0	37.46	multiple	.
Oahu_CC_152	Oahu	CC_152	154728.859257	1505.86	150.586	30	0.05	0	0	0	0	0	4.49	multiple	.
Oahu_CIP_CT	Oahu	CIP_CT	0.0	113.0	113.0	61	0.0	0	0	0	0	0	40.76	multiple	.
Oahu_CentralTrackingPV_PV_01	Oahu	CentralTrackingPV	445105.180308	272.066070557	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_02	Oahu	CentralTrackingPV	440661.3106	235.386581421	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_03	Oahu	CentralTrackingPV	436439.664745	74.0786514282	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_04	Oahu	CentralTrackingPV	429075.077032	246.034667969	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_05	Oahu	CentralTrackingPV	424813.668151	34.1890525818	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_06	Oahu	CentralTrackingPV	416193.384538	5.40065670013	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_07	Oahu	CentralTrackingPV	425997.109593	382.345397949	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_08	Oahu	CentralTrackingPV	432119.431236	728.008300781	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_09	Oahu	CentralTrackingPV	448641.546172	338.270233154	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_10	Oahu	CentralTrackingPV	438034.535995	1248.96032715	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_11	Oahu	CentralTrackingPV	445272.692534	346.391876221	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_12	Oahu	CentralTrackingPV	449881.864325	246.924240112	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_13	Oahu	CentralTrackingPV	448572.777192	489.409210205	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_14	Oahu	CentralTrackingPV	438991.037617	103.340690613	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_15	Oahu	CentralTrackingPV	428848.297999	252.478622437	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_16	Oahu	CentralTrackingPV	434037.348584	254.376785278	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_17	Oahu	CentralTrackingPV	438922.330053	8.01186752319	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_CentralTrackingPV_PV_18	Oahu	CentralTrackingPV	429886.501573	0.493028700352	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_0	Oahu	DistPV	0.0	180.707901001	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_1	Oahu	DistPV	0.0	204.503570557	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_10	Oahu	DistPV	0.0	262.002838135	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_11	Oahu	DistPV	0.0	239.568954468	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_12	Oahu	DistPV	0.0	225.641403198	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_13	Oahu	DistPV	0.0	268.203369141	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_14	Oahu	DistPV	0.0	168.312789917	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_15	Oahu	DistPV	0.0	152.342926025	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_16	Oahu	DistPV	0.0	116.671684265	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_17	Oahu	DistPV	0.0	272.812866211	.	25	0.0	0	1	0	0	0	0.0	SUN	.
Oahu_DistPV_Oahu_DistPV_18	Oahu	DistPV	0.0	224.121688843	.	25	0.0	0	1	0	0	0	0.0	SUN	.
