generation_technology	g_dbid	g_max_age	g_min_build_capacity	g_scheduled_outage_rate	g_forced_outage_rate	g_is_variable	g_is_baseload	g_is_flexible_baseload	g_is_dispatchable	g_is_cogen	g_competes_for_space	g_variable_o_m
AES_Coal_180_MW_ST	AES_Coal_180_MW_ST	145.0	.	0.0	0.01	0	0	1	1	0	0	0.00447
Chevron_LSFO_3_MW_GT_cogen	Chevron_LSFO_3_MW_GT_cogen	130.0	.	0.164655600972161	0.04	0	1	0	1	1	0	0.004935
HPower_MLG_60_MW_ST	HPower_MLG_60_MW_ST	130.0	.	0.0	0.04	0	0	1	1	0	0	0.0061425
Honolulu_LSFO_48.6_MW_ST	Honolulu_LSFO_48.6_MW_ST	130.0	.	0.0	0.04	0	0	0	1	0	0	0.00819
Honolulu_LSFO_51.7_MW_ST	Honolulu_LSFO_51.7_MW_ST	130.0	.	0.0	0.04	0	0	0	1	0	0	0.00819
Kahe_LSFO_128.1_MW_ST	Kahe_LSFO_128.1_MW_ST	130.0	.	0.0	0.04	0	0	1	1	0	0	0.00819
Kahe_LSFO_128.7_MW_ST	Kahe_LSFO_128.7_MW_ST	130.0	.	0.0	0.04	0	0	1	1	0	0	0.00819
Kahe_LSFO_77.9_MW_ST	Kahe_LSFO_77.9_MW_ST	130.0	.	0.0	0.04	0	0	1	1	0	0	0.00819
Kahe_LSFO_78.1_MW_ST	Kahe_LSFO_78.1_MW_ST	130.0	.	0.0	0.04	0	0	1	1	0	0	0.00819
Kahe_LSFO_82.1_MW_ST	Kahe_LSFO_82.1_MW_ST	130.0	.	0.0	0.04	0	0	1	1	0	0	0.00819
Kahe_LSFO_87.2_MW_ST	Kahe_LSFO_87.2_MW_ST	130.0	.	0.0	0.04	0	0	1	1	0	0	0.00819
Kalaeloa_107_MW_CC_cogen	Kalaeloa_107_MW_CC_cogen	130.0	.	0.264210952391748	0.04	0	1	1	1	1	0	0.0061425
Tesoro_LSFO_20_MW_GT_cogen	Tesoro_LSFO_20_MW_GT_cogen	130.0	.	0.185430947964231	0.04	0	1	0	1	1	0	0.004935
Waiau_High-Sulfur-Diesel_51.2_MW_GT	Waiau_High-Sulfur-Diesel_51.2_MW_GT	130.0	.	0.0	0.04	0	0	0	1	0	0	0.004935
Waiau_LSFO_47.2_MW_ST	Waiau_LSFO_47.2_MW_ST	130.0	.	0.0	0.04	0	0	0	1	0	0	0.00819
Waiau_LSFO_47.7_MW_ST	Waiau_LSFO_47.7_MW_ST	130.0	.	0.0	0.04	0	0	0	1	0	0	0.00819
Waiau_LSFO_51.8_MW_ST	Waiau_LSFO_51.8_MW_ST	130.0	.	0.0	0.04	0	0	0	1	0	0	0.00819
Waiau_LSFO_51.9_MW_ST	Waiau_LSFO_51.9_MW_ST	130.0	.	0.0	0.04	0	0	0	1	0	0	0.00819
Waiau_LSFO_77.8_MW_ST	Waiau_LSFO_77.8_MW_ST	130.0	.	0.0	0.04	0	0	1	1	0	0	0.00819
