PROJECT	build_year	proj_overnight_cost	proj_fixed_om
Oahu_Honolulu_H9	1957	3532.0	64.04
Oahu_Waiau_W3	1947	3532.0	64.04
Oahu_Honolulu_H8	1954	3532.0	64.04
Oahu_Waiau_W5	1959	3532.0	64.04
Oahu_Kalaeloa_CC1_CC2	1989	2649.0	48.03
Oahu_Waiau_W10_W9	1973	1518.75	7.515
Oahu_Kahe_K3	1970	3532.0	64.04
Oahu_HPower_GEN1	1989	2649.0	48.03
Oahu_Tesoro_GEN1	1982	1518.75	7.515
Oahu_Kahe_K6	1981	3532.0	64.04
Oahu_Waiau_W7_W8	1968	3532.0	64.04
Oahu_Kahe_K4	1972	3532.0	64.04
Oahu_Waiau_W4	1950	3532.0	64.04
Oahu_Kahe_K2	1964	3532.0	64.04
Oahu_Kahe_K5	1974	3532.0	64.04
Oahu_Kahe_K1	1963	3532.0	64.04
Oahu_Kalaeloa_CC1_CC2	1991	2649.0	48.03
Oahu_AES_GEN1	1992	2925.0	31.18
Oahu_Waiau_W6	1961	3532.0	64.04
Oahu_Waiau_W7_W8	1966	3532.0	64.04
Oahu_Chevron_GEN1_GEN2_GEN3	1990	1518.75	7.515
