timepoint_label	lz_demand_mw_as_consumption	DumpPower	LZ_NetDispatch
2007-01-30-00:00	-682.14	0.0	682.1399999999996
2007-01-30-01:00	-643.77	-2.8421709430404e-14	643.7699999999993
2007-01-30-02:00	-632.4	-1.4210854715202e-14	632.3999999999999
2007-01-30-03:00	-661.37	-2.8421709430404e-14	661.3699999999999
2007-01-30-04:00	-724.24	-2.8421709430404e-14	724.2399999999996
2007-01-30-05:00	-848.13	1.70530256582424e-13	848.1299999999999
2007-01-30-06:00	-978.14	1.70530256582424e-13	978.1399999999999
2007-01-30-07:00	-1003.14	1.70530256582424e-13	1003.1399999999994
2007-01-30-08:00	-1051.33	1.13686837721616e-13	1051.3299999999995
2007-01-30-09:00	-1077.46	1.70530256582424e-13	1077.4599999999994
2007-01-30-10:00	-1085.02	1.4210854715202e-13	1085.0199999999993
2007-01-30-11:00	-1099.76	1.13686837721616e-13	1099.7599999999993
2007-01-30-12:00	-1107.25	1.13686837721616e-13	1107.2499999999993
2007-01-30-13:00	-1095.48	2.27373675443232e-13	1095.4799999999993
2007-01-30-14:00	-1096.16	2.27373675443232e-13	1096.1599999999994
2007-01-30-15:00	-1090.02	1.13686837721616e-13	1090.0199999999995
2007-01-30-16:00	-1092.35	2.27373675443232e-13	1092.3499999999995
2007-01-30-17:00	-1120.33	1.4210854715202e-13	1120.3299999999992
2007-01-30-18:00	-1188.41	5.6843418860808e-14	1188.4099999999992
2007-01-30-19:00	-1125.73	1.70530256582424e-13	1125.7299999999993
2007-01-30-20:00	-1044.94	2.55795384873636e-13	1044.9399999999994
2007-01-30-21:00	-950.56	-5.6843418860808e-14	950.5599999999995
2007-01-30-22:00	-835.16	1.13686837721616e-13	835.1599999999999
2007-01-30-23:00	-739.87	1.13686837721616e-13	739.8699999999997
2007-02-17-00:00	-715.02	4.2632564145606e-14	715.0199999999995
2007-02-17-01:00	-676.68	0.0	676.6799999999997
2007-02-17-02:00	-657.39	-5.6843418860808e-14	657.3899999999998
2007-02-17-03:00	-655.85	-5.6843418860808e-14	655.8499999999997
2007-02-17-04:00	-668.53	0.0	668.5299999999997
2007-02-17-05:00	-723.87	1.4210854715202e-13	723.8699999999997
2007-02-17-06:00	-798.78	-2.8421709430404e-14	798.7799999999997
2007-02-17-07:00	-895.91	1.13686837721616e-13	895.9099999999996
2007-02-17-08:00	-978.49	0.0	978.4899999999998
2007-02-17-09:00	-1023.96	-1.13686837721616e-13	1023.9600000000005
2007-02-17-10:00	-1038.84	5.6843418860808e-14	1038.8399999999992
2007-02-17-11:00	-1031.02	-5.6843418860808e-14	1031.0199999999993
2007-02-17-12:00	-1011.78	-5.6843418860808e-14	1011.78
2007-02-17-13:00	-992.25	-5.6843418860808e-14	992.2500000000005
2007-02-17-14:00	-985.39	1.13686837721616e-13	985.3899999999999
2007-02-17-15:00	-985.87	1.13686837721616e-13	985.8699999999999
2007-02-17-16:00	-994.52	-5.6843418860808e-14	994.5200000000004
2007-02-17-17:00	-1004.57	1.70530256582424e-13	1004.5699999999993
2007-02-17-18:00	-1044.73	2.55795384873636e-13	1044.7299999999993
2007-02-17-19:00	-1013.21	-1.70530256582424e-13	1013.21
2007-02-17-20:00	-967.34	1.70530256582424e-13	967.3399999999995
2007-02-17-21:00	-909.45	0.0	909.4499999999998
2007-02-17-22:00	-828.91	1.13686837721616e-13	828.9099999999999
2007-02-17-23:00	-747.14	1.13686837721616e-13	747.1399999999996
2007-03-12-00:00	-703.29	0.0	703.2899999999997
2007-03-12-01:00	-671.8	0.0	671.7999999999997
2007-03-12-02:00	-658.06	-5.6843418860808e-14	658.0599999999997
2007-03-12-03:00	-669.01	0.0	669.0099999999998
2007-03-12-04:00	-732.51	0.0	732.5099999999998
2007-03-12-05:00	-858.59	1.70530256582424e-13	858.5899999999997
2007-03-12-06:00	-985.6	1.13686837721616e-13	985.5999999999997
2007-03-12-07:00	-1028.09	-5.6843418860808e-14	1028.0899999999995
2007-03-12-08:00	-1084.18	4.2632564145606e-14	1084.1799999999994
2007-03-12-09:00	-1119.39	1.4210854715202e-13	1119.3899999999994
2007-03-12-10:00	-1136.95	5.6843418860808e-14	1136.9499999999994
2007-03-12-11:00	-1143.32	1.70530256582424e-13	1143.3199999999995
2007-03-12-12:00	-1154.74	1.70530256582424e-13	1154.7399999999993
2007-03-12-13:00	-1148.97	5.6843418860808e-14	1148.9699999999993
2007-03-12-14:00	-1144.97	1.70530256582424e-13	1144.9699999999993
2007-03-12-15:00	-1129.88	1.13686837721616e-13	1129.8799999999994
2007-03-12-16:00	-1119.14	1.4210854715202e-13	1119.1399999999994
2007-03-12-17:00	-1139.2	5.6843418860808e-14	1139.1999999999994
