PROJECT	build_year	proj_overnight_cost	proj_fixed_om
Oahu_Honolulu_H9	1957	3532000.0	64040.0
Oahu_Solar_DistPV	2013	6865000.0	0.0
Oahu_Waiau_W3	1947	3532000.0	64040.0
Oahu_Honolulu_H8	1954	3532000.0	64040.0
Oahu_Kalaeloa_KAS2	2012	4162000.0	41281.0
Oahu_Kawailoa_1	2012	9846000.0	223070.0
Oahu_Waiau_W10_W9	1973	1518750.0	7515.0
Oahu_Kalaeloa_CC1_CC2	1989	2649000.0	48030.0
Oahu_Tesoro_GEN1	1982	1518750.0	7515.0
Oahu_HPower_GEN1	1989	2649000.0	48030.0
Oahu_Kahe_K6	1981	3532000.0	64040.0
Oahu_Waiau_W7_W8	1968	3532000.0	64040.0
Oahu_Kahe_K4	1972	3532000.0	64040.0
Oahu_Waiau_W4	1950	3532000.0	64040.0
Oahu_Kahe_K2	1964	3532000.0	64040.0
Oahu_Kahe_K5	1974	3532000.0	64040.0
Oahu_Kahe_K1	1963	3532000.0	64040.0
Oahu_AES_GEN1	1992	2925000.0	31180.0
Oahu_Kalaeloa_CC1_CC2	1991	2649000.0	48030.0
Oahu_Waiau_W6	1961	3532000.0	64040.0
Oahu_CIP_CIP1	2009	1518750.0	7515.0
Oahu_Waiau_W7_W8	1966	3532000.0	64040.0
Oahu_Chevron_GEN1_GEN2_GEN3	1990	1518750.0	7515.0
Oahu_Waiau_W5	1959	3532000.0	64040.0
Oahu_Kahuku_1	2011	9846000.0	223070.0
Oahu_Kahe_K3	1970	3532000.0	64040.0
Oahu_Chevron_GEN4	2011	1518750.0	7515.0
