PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_AES_GEN1	.	AES_Coal_180_MW_ST	Oahu	0.0	.	4.47
Oahu_CCCT	.	CCCT	Oahu	137000.0	.	.
Oahu_CIP_CIP1	.	CIP_Biodiesel_113_MW_GT	Oahu	0.0	.	4.935
Oahu_CentralTrackingPV_100_na	.	CentralTrackingPV	Oahu	22775.89545	0.394728781	.
Oahu_CentralTrackingPV_101_na	.	CentralTrackingPV	Oahu	22777.53419	11.92224511	.
Oahu_CentralTrackingPV_102_na	.	CentralTrackingPV	Oahu	22821.73907	4.970112983	.
Oahu_CentralTrackingPV_103_na	.	CentralTrackingPV	Oahu	22909.47481	0.578805326	.
Oahu_CentralTrackingPV_104_na	.	CentralTrackingPV	Oahu	23210.424	1.164058114	.
Oahu_CentralTrackingPV_105_na	.	CentralTrackingPV	Oahu	23421.08908	1.770272679	.
Oahu_CentralTrackingPV_106_na	.	CentralTrackingPV	Oahu	29239.07089	0.12884844	.
Oahu_CentralTrackingPV_107_na	.	CentralTrackingPV	Oahu	29874.06497	4.435063848	.
Oahu_CentralTrackingPV_108_na	.	CentralTrackingPV	Oahu	30520.99703	56.63285852	.
Oahu_CentralTrackingPV_109_na	.	CentralTrackingPV	Oahu	31185.63682	54.88360996	.
Oahu_CentralTrackingPV_10_na	.	CentralTrackingPV	Oahu	32157.31383	0.497507035	.
Oahu_CentralTrackingPV_110_na	.	CentralTrackingPV	Oahu	31874.62116	57.35660328	.
Oahu_CentralTrackingPV_111_na	.	CentralTrackingPV	Oahu	32571.58815	14.18570651	.
Oahu_CentralTrackingPV_112_na	.	CentralTrackingPV	Oahu	22044.65988	4.235163257	.
Oahu_CentralTrackingPV_113_na	.	CentralTrackingPV	Oahu	21912.95464	6.788612116	.
Oahu_CentralTrackingPV_114_na	.	CentralTrackingPV	Oahu	21780.75458	0.395096259	.
Oahu_CentralTrackingPV_115_na	.	CentralTrackingPV	Oahu	21782.52971	0.37632	.
Oahu_CentralTrackingPV_116_na	.	CentralTrackingPV	Oahu	21828.81116	5.232328996	.
Oahu_CentralTrackingPV_117_na	.	CentralTrackingPV	Oahu	21920.58348	20.23080663	.
Oahu_CentralTrackingPV_118_na	.	CentralTrackingPV	Oahu	22055.25641	6.38521204	.
Oahu_CentralTrackingPV_119_na	.	CentralTrackingPV	Oahu	28471.65588	0.01764	.
Oahu_CentralTrackingPV_11_na	.	CentralTrackingPV	Oahu	32459.81168	23.17845291	.
Oahu_CentralTrackingPV_120_na	.	CentralTrackingPV	Oahu	29123.43548	4.676533447	.
Oahu_CentralTrackingPV_121_na	.	CentralTrackingPV	Oahu	29786.7216	42.31955781	.
Oahu_CentralTrackingPV_122_na	.	CentralTrackingPV	Oahu	30467.42953	29.17632192	.
Oahu_CentralTrackingPV_123_na	.	CentralTrackingPV	Oahu	31172.33746	36.05699552	.
Oahu_CentralTrackingPV_124_na	.	CentralTrackingPV	Oahu	31884.70335	11.92287044	.
