timepoint_id	timestamp	timeseries
200700	2020-07-15-00:00	2007
200701	2020-07-15-01:00	2007
200702	2020-07-15-02:00	2007
200703	2020-07-15-03:00	2007
200704	2020-07-15-04:00	2007
200705	2020-07-15-05:00	2007
200706	2020-07-15-06:00	2007
200707	2020-07-15-07:00	2007
200708	2020-07-15-08:00	2007
200709	2020-07-15-09:00	2007
200710	2020-07-15-10:00	2007
200711	2020-07-15-11:00	2007
200712	2020-07-15-12:00	2007
200713	2020-07-15-13:00	2007
200714	2020-07-15-14:00	2007
200715	2020-07-15-15:00	2007
200716	2020-07-15-16:00	2007
200717	2020-07-15-17:00	2007
200718	2020-07-15-18:00	2007
200719	2020-07-15-19:00	2007
200720	2020-07-15-20:00	2007
200721	2020-07-15-21:00	2007
200722	2020-07-15-22:00	2007
200723	2020-07-15-23:00	2007
300700	2030-07-15-00:00	3007
300701	2030-07-15-01:00	3007
300702	2030-07-15-02:00	3007
300703	2030-07-15-03:00	3007
300704	2030-07-15-04:00	3007
300705	2030-07-15-05:00	3007
300706	2030-07-15-06:00	3007
300707	2030-07-15-07:00	3007
300708	2030-07-15-08:00	3007
300709	2030-07-15-09:00	3007
300710	2030-07-15-10:00	3007
300711	2030-07-15-11:00	3007
300712	2030-07-15-12:00	3007
300713	2030-07-15-13:00	3007
300714	2030-07-15-14:00	3007
300715	2030-07-15-15:00	3007
300716	2030-07-15-16:00	3007
300717	2030-07-15-17:00	3007
300718	2030-07-15-18:00	3007
300719	2030-07-15-19:00	3007
300720	2030-07-15-20:00	3007
300721	2030-07-15-21:00	3007
300722	2030-07-15-22:00	3007
300723	2030-07-15-23:00	3007
